AUTHOR,MESSAGES
elsewin.,yo
elsewin.,You sounds like a punck
elsewin.,So why the fuck are you here then
elsewin.,This is a funcking test you dumb fuck
elsewin.,"Wow, I've never heard of someone with so much bad manner"
elsewin.,!getvibe
Dc Moderation System,🕒 Fetching messages from the last 24 hours...
Dc Moderation System,
Dc Moderation System,✅ Sentiment analysis completed successfully.
elsewin.,!enforce
Dc Moderation System,⚠️ WARNING! FROM NOW ON ANY MESSAGE NOT RELATED TO THE CHANNEL TOPIC  'politics'  WILL BE DELETED!
Dc Moderation System,
elsewin.,!DeleteAll
Dc Moderation System,⚠️ Deleting every messages in the last 24h!
